"pool","doeid","nweight","hdd30yr","cdd30yr","kownrent","condcoop","naptflrs","stories","stoven","stovenfuel","stove","stovefuel","oven","ovenfuel","ovenuse","outgrill","dishwash","cwasher","washload","dryer","dryruse","tvcolor","computer","numpc","pcprint","moisture","prkgplc1","prkgplc2","cooltype","tempniteac","numberac","numcfan","notmoist","highceil","windows","adqinsul","drafty","swim"
8,11546,24481785,4626,1219,1,-2,-2,20,1,5,0,-2,0,-2,6,1,0,1,3,1,3,2,1,2,2,0,0,1,2,-2,2,0,0,0,50,3,3,0
8,11670,11174230,8877,249,1,-2,-2,20,1,5,0,-2,0,-2,4,0,0,1,2,1,2,1,1,1,1,1,1,-2,-2,-2,-2,0,0,0,41,1,4,0
9,277,5629099,7094,363,1,-2,-2,20,0,-2,1,5,2,5,4,1,1,1,3,1,1,3,1,2,1,0,1,-2,2,-2,3,1,0,0,42,2,4,1
9,1140,24080233,5409,876,1,-2,-2,20,1,2,1,2,2,5,4,1,1,1,2,1,1,3,1,1,0,1,1,-2,1,-2,-2,1,1,0,60,1,4,0
9,1360,5862855,7151,377,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,1,1,1,3,1,0,0,0,-2,-2,-2,1,1,1,42,1,4,0
9,1477,5629099,6942,393,1,-2,-2,20,1,5,0,-2,0,-2,2,1,1,1,2,1,2,2,1,2,2,0,1,-2,-2,-2,-2,0,1,0,60,2,2,0
9,1657,5862855,7000,384,1,-2,-2,20,1,5,0,-2,0,-2,3,1,1,1,3,1,1,4,1,3,1,0,1,-2,2,-2,3,6,1,1,42,1,4,0
9,1915,10705617,7290,326,1,-2,-2,10,0,-2,1,5,1,5,3,1,1,1,2,1,1,4,1,1,1,0,1,-2,1,-2,-2,2,1,0,42,1,4,0
9,1921,4088051,5724,311,2,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,1,1,1,1,1,0,0,0,-2,-2,-2,1,0,0,50,2,4,0
9,2326,7834501,7377,427,1,-2,-2,10,1,2,0,-2,0,-2,6,1,1,1,2,0,-2,5,0,0,-2,0,0,1,2,-2,1,5,1,0,41,1,4,2
9,2760,4075362,7614,280,1,-2,-2,10,1,5,0,-2,0,-2,5,1,1,1,3,1,1,6,1,4,1,0,1,-2,1,-2,-2,5,0,0,41,1,4,0
9,2851,7955395,6721,556,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,1,4,1,2,2,0,1,-2,-2,-2,-2,0,1,0,60,3,2,0
9,2964,5629099,7538,298,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,3,1,1,2,1,1,1,1,0,1,2,-2,1,5,1,0,41,1,4,3
9,3068,7834501,7504,323,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,4,1,2,3,1,1,1,0,1,-2,-2,-2,-2,2,1,0,50,2,3,0
9,3163,7925485,6619,580,1,-2,-2,20,1,5,0,-2,0,-2,5,1,0,1,2,1,1,2,1,4,1,1,0,0,2,-2,2,1,0,0,41,1,4,0
9,3209,5629099,7101,409,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,3,1,1,3,1,2,1,0,1,-2,2,-2,3,2,1,0,50,2,3,0
9,3265,17351452,6256,587,1,-2,-2,10,1,5,0,-2,0,-2,5,1,0,1,1,1,3,2,0,0,-2,0,0,0,2,-2,1,2,0,0,30,1,4,0
9,3972,5694471,7363,250,1,-2,-2,20,1,2,0,-2,0,-2,3,1,1,1,4,1,1,5,1,1,1,0,1,-2,2,-2,3,2,1,1,42,2,3,0
9,4071,7834503,7161,353,1,-2,-2,10,0,-2,1,2,1,2,0,1,1,1,4,1,1,4,1,4,1,0,1,-2,-2,-2,-2,1,0,0,41,1,3,1
9,4123,21693370,5481,807,1,-2,-2,20,0,-2,1,2,1,5,2,1,1,1,3,1,1,3,1,2,1,1,1,-2,1,72,-2,4,1,1,50,1,4,0
9,4153,4554933,5993,578,1,-2,-2,10,1,5,0,-2,0,-2,3,1,0,1,3,1,1,1,1,1,1,0,0,1,-2,-2,-2,1,1,0,42,1,3,0
9,4506,4133556,6272,691,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,3,1,1,3,1,1,1,0,1,-2,1,72,-2,0,0,1,50,2,4,0
9,4570,5629100,6691,519,1,-2,-2,10,1,5,0,-2,0,-2,4,1,1,1,2,1,1,4,1,2,1,0,1,-2,2,-2,4,3,1,1,42,2,3,0
9,5313,15864351,5440,800,1,-2,-2,20,1,1,0,-2,0,-2,3,1,1,1,3,1,1,3,1,2,2,1,1,-2,1,74,-2,5,1,1,50,1,4,1
9,6093,5629099,7159,397,1,-2,-2,20,1,2,0,-2,0,-2,4,1,1,1,4,1,1,4,1,2,1,0,0,0,2,-2,2,0,0,0,50,2,4,0
9,6550,24080233,5781,682,1,-2,-2,20,0,-2,1,5,1,5,1,1,1,1,1,1,1,5,1,3,3,0,1,-2,1,-2,-2,3,1,1,60,2,3,0
9,6690,24080245,5626,774,1,-2,-2,20,1,2,0,-2,0,-2,4,1,1,1,4,1,1,4,1,1,1,0,1,-2,1,70,-2,5,0,1,60,1,4,3
9,6737,3360268,5809,625,1,1,-2,20,1,1,0,-2,0,-2,5,1,1,1,2,1,1,4,1,2,1,0,1,-2,1,-2,-2,4,1,1,50,1,4,0
9,6931,11174232,7875,374,1,-2,-2,20,2,5,0,-2,0,-2,2,1,1,1,3,1,1,5,1,1,2,1,1,-2,-2,-2,-2,10,0,1,50,1,4,3
9,7133,11174232,9273,176,1,-2,-2,20,0,-2,1,2,1,5,3,1,1,1,2,1,1,3,1,1,2,0,0,1,-2,-2,-2,1,0,0,41,2,4,1
9,7557,8159842,7610,381,1,-2,-2,10,1,5,0,-2,0,-2,5,1,1,1,3,1,1,2,1,3,1,0,1,-2,2,-2,1,3,1,0,50,1,4,2
9,7580,6814270,5581,763,1,-2,-2,20,1,5,1,5,1,5,3,1,1,1,2,1,1,3,1,6,1,0,1,-2,1,76,-2,1,0,1,60,2,4,0
9,7653,15804707,5409,827,1,-2,-2,20,1,5,0,-2,0,-2,4,1,1,1,2,1,2,2,1,2,1,0,0,1,1,76,-2,0,1,0,41,1,3,0
9,7663,7955393,6149,687,1,-2,-2,20,1,5,0,-2,0,-2,2,1,1,1,3,1,1,2,1,4,1,0,1,-2,2,-2,4,6,0,0,50,2,3,0
9,8488,5234819,6158,646,1,1,-2,20,1,5,0,-2,0,-2,4,0,1,1,2,1,1,2,1,2,1,0,1,-2,1,-2,-2,0,0,1,30,3,1,0
9,8863,17619198,5938,568,1,-2,-2,10,2,1,0,-2,0,-2,6,1,1,1,3,1,2,3,1,2,1,0,1,-2,1,78,-2,1,0,1,41,2,4,0
9,8877,5414539,6736,504,1,-2,-2,20,1,5,0,-2,0,-2,6,0,1,1,3,1,2,3,1,3,0,0,1,-2,2,-2,1,0,0,0,41,3,2,2
